FacultyID,Category,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10,Preference 11,Preference 12
Faculty41,x2,FDELE - HSS F338 - COMPARATIVE INDIAN LITERATURE,FDCDC - PHY F214 - ELEC MAGNET & OPTICS LAB,HDCDC - CS G519 - SOCIAL MEDIA ANALYTICS,HDCDC - EEE G612 - CODING THEORY AND PRACTICE,FDELE - HSS F347 - INTRO TOCARNATIC MUSIC,HDELE - INSTR F266 - STUDY PROJECT,FDCDC - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO,HDELE - CS G553 - RECONFIGURABLE COMPUTING,FDELE - CHE F491 - SPECIAL PROJECTS,FDCDC - MATH F311 - INTRODUCTION TO TOPOLOGY,FDCDC - CS F366 - LABORATORY PROJECT,FDELE - PHY F420 - QUANTUM OPTICS
Faculty42,x2,FDELE - CHE F212 - FLUID MECHANICS,HDELE - BITS G540 - RESEARCH PRACTICE,FDELE - CS F429 - NATURAL LANG PROCESS,HDCDC - CS G525 - ADV COMPUTER NETWORKS,FDELE - BIO F313 - ANIMAL PHYSIOLOGY,HDELE - BIO G514 - MOLECULAR IMMUNOLOGY,FDCDC - CHE F211 - CHEMICAL PROCESS CALCULATION,FDCDC - CS F351 - THEORY OF COMPUTATION,FDELE - BIO F266 - STUDY PROJECT,FDCDC - CHEM F431 - SUSTAINABLE CHEMISTRY USING RENEWABLES,FDCDC - PHY F412 - INTRODUCTION TO QUANTUM FIELD THEORY,HDCDC - BIO G526 - CANCER BIOLOGY
Faculty43,x2,HDCDC - CHE G622 - ADV CHEMICAL ENGG THERMO,FDCDC - ECON F312 - MONEY BANK & FIN MARKETS,HDELE - ME F211 - MECHANICS OF SOLIDS,FDELE - EEE F366 - LABORATORY PROJECT,FDELE - EEE F428 - ENERGY STORAGE SYSTEMS,HDELE - ME F491 - SPECIAL PROJECTS,HDCDC - BIO G525 - ENVIR BIOTECH & WAS MGMT,FDCDC - PHY F412 - INTRODUCTION TO QUANTUM FIELD THEORY,"FDCDC - BIO F216 - WATER,SANITATION & SOLID WASTE",FDCDC - HSS F317 - INTRODUCTION TO GLOBALIZATION,FDELE - ECON F315 - FINANCIAL MANAGEMENT,FDELE - PHY F376 - DESIGN PROJECT
Faculty44,x3,FDCDC - HSS F235 - INTRODUCTORY PHILOSOPHY,FDCDC - GS F326 - CREATIVE THINKING,FDCDC - CS F468 - INFORMATION SECURITY PROJECT,FDELE - CHEM F111 - GENERAL CHEMISTRY,FDELE - HSS F349 - ECOCRITICISM,HDCDC - CHE G523 - MATH METHODS IN CHEM ENG,FDCDC - CS F301 - PRINCIPLES OF PROGG LANG,FDELE - BITS F110 - ENGINEERING GRAPHICS,HDELE - MEL G621 - VLSI DESIGN,HDCDC - EEE G612 - CODING THEORY AND PRACTICE,FDELE - EEE F418 - MOD COMMUNICATION TECH,HDELE - INSTR F312 - TRANSD & MEASUREMENT SYS
Faculty45,x2,FDCDC - MATH F215 - ALGEBRA I,FDCDC - CHE F312 - CHEMICAL ENGG LAB I,FDELE - MATH F312 - ORDINARY DIFF EQUATIONS,FDELE - BIO F214 - INTEGRATED BIOLOGY,FDELE - ECE F376 - DESIGN PROJECT,HDCDC - CHE G622 - ADV CHEMICAL ENGG THERMO,FDCDC - HSS F337 - ENGLISH LITERARY FORMS AND MOVEMENTS,FDELE - INSTR F376 - DESIGN PROJECT,HDELE - BITS G529 - RESEARCH PROJECT I,HDCDC - BITS G563T - DISSERTATION,HDELE - ME F376 - DESIGN PROJECT,FDCDC - PHY F214 - ELEC MAGNET & OPTICS LAB
Faculty46,x2,HDCDC - CS G527 - CLOUD COMPUTING,FDELE - ECON F214 - ECONOMIC ENV OF BUSINESS,FDELE - MATH F313 - NUMERICAL ANALYSIS,FDCDC - ECE F366 - LABORATORY PROJECT,FDCDC - HSS F332 - CINEMATIC ART,FDCDC - CHEM F214 - INORGANIC CHEMISTRY I,HDELE - INSTR F266 - STUDY PROJECT,HDCDC - BITS G513 - STUDY IN ADVANCED TOPICS,FDCDC - PHY F491 - SPECIAL PROJECT,FDELE - EEE F428 - ENERGY STORAGE SYSTEMS,HDELE - BIO G515 - STEM CELL & REGENER BIO,FDELE - HSS F349 - ECOCRITICISM
Faculty47,x1,HDELE - ME F216 - MATERIAL SCI AND ENGINEERIN,FDELE - ECON F415 - NEW VENTURE CREATION,HDCDC - DE G531 - PRODUCT DESIGN,FDELE - BITS F110 - ENGINEERING GRAPHICS,FDCDC - CHE F312 - CHEMICAL ENGG LAB I,HDCDC - BIO G523 - ADV & APPLIED MICROBIO,FDCDC - BIO F211 - BIOLOGICAL CHEMISTRY,FDCDC - CS F407 - ARTIFICIAL INTELLIGENCE,HDELE - INSTR F266 - STUDY PROJECT,FDELE - CHEM F376 - DESIGN PROJECT,FDELE - EEE F366 - LABORATORY PROJECT,FDCDC - PHY F315 - THEORY OF RELATIVITY
Faculty48,x3,FDCDC - CS F366 - LABORATORY PROJECT,HDELE - ME F491 - SPECIAL PROJECTS,FDELE - ECE F266 - STUDY PROJECT,FDELE - CHEM F330 - PHOTOPHYSICAL CHEMISTRY,FDCDC - BIO F418 - GENETIC ENGINEERING TECH,HDCDC - CS G519 - SOCIAL MEDIA ANALYTICS,FDCDC - CHEM F214 - INORGANIC CHEMISTRY I,FDCDC - BITS F316 - NONLINEAR DYNAMICS AND CHAOS,HDCDC - ME F415 - GAS DYNAMICS,FDELE - BITS F315 - INTRODUCTION TO COGNITIVE NEUR,FDELE - BITS F452 - BLOCKCHAIN TECHNOLOGY,HDELE - CHE G613 - ADVANCED MASS TRANSFER
Faculty49,x2,HDELE - BITS G539 - RESEARCH PROJECT II,FDCDC - GS F242 - CULTURAL STUDIES,FDELE - CHE F266 - STUDY PROJECT,FDELE - INSTR F366 - LABORATORY PROJECT,FDELE - BITS F315 - INTRODUCTION TO COGNITIVE NEUR,FDCDC - PHY F213 - OPTICS,HDCDC - CS G541 - PERVASIVE COMPUTING,FDELE - MATH F313 - NUMERICAL ANALYSIS,FDCDC - MATH F266 - STUDY PROJECT,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDCDC - ECON F354 - DERIVATIVES &  RISK MGMT,HDCDC - EEE G581 - RF AND MICROWAVE ENGG
Faculty50,x1,FDELE - HSS F349 - ECOCRITICISM,FDELE - CS F402 - COMPUTATIONAL GEOMETRY,HDELE - CS G553 - RECONFIGURABLE COMPUTING,FDELE - BIO F111 - GENERAL BIOLOGY,FDCDC - CS F213 - OBJECT ORIENTED PROG,HDELE - BIO G515 - STEM CELL & REGENER BIO,FDELE - CHEM F111 - GENERAL CHEMISTRY,FDCDC - BITS F316 - NONLINEAR DYNAMICS AND CHAOS,FDCDC - CS F407 - ARTIFICIAL INTELLIGENCE,HDCDC - CS G541 - PERVASIVE COMPUTING,FDCDC - MATH F231 - NUMBER THEORY,HDCDC - ME F314 - DESIGN OF MACHINE ELEMENTS
Faculty51,x2,FDELE - EEE F366 - LABORATORY PROJECT,HDCDC - SAN G512 - SANITATION AND PUBLIC HEALTH,FDCDC - MATH F231 - NUMBER THEORY,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDCDC - BIO F211 - BIOLOGICAL CHEMISTRY,FDELE - HSS F314 - MARITIME STUDIES & BLUE ECON,FDELE - EEE F416 - DIGITAL COMMUNICATION,FDCDC - CS F407 - ARTIFICIAL INTELLIGENCE,FDCDC - PHY F491 - SPECIAL PROJECT,HDELE - BITS G529 - RESEARCH PROJECT I,FDELE - EEE F491 - SPECIAL PROJECT,HDCDC - BIO G526 - CANCER BIOLOGY
Faculty52,x1,FDCDC - PHY F214 - ELEC MAGNET & OPTICS LAB,HDCDC - MEL G611 - I C FABRICATION TECH,FDELE - BITS F110 - ENGINEERING GRAPHICS,HDELE - CS G553 - RECONFIGURABLE COMPUTING,FDCDC - MATH F231 - NUMBER THEORY,HDCDC - BIO G661 - GENE TOXICOLOGY,FDCDC - PHY F215 - INTRO TO ASTRO & ASTROPH,FDELE - EEE F428 - ENERGY STORAGE SYSTEMS,HDELE - ME F376 - DESIGN PROJECT,FDCDC - CS F468 - INFORMATION SECURITY PROJECT,FDELE - MATH F491 - SPECIAL PROJECT,FDELE - CHE F212 - FLUID MECHANICS
Faculty53,x2,FDCDC - PHY F211 - CLASSICAL MECHANICS,HDCDC - BIO G661 - GENE TOXICOLOGY,FDELE - GS F212 - ENVIRON DEV & CLIMATE CH,HDELE - ME F491 - SPECIAL PROJECTS,FDCDC - HSS F232 - INTRO TO DEV STUDIES,HDELE - INSTR F266 - STUDY PROJECT,HDCDC - CS G541 - PERVASIVE COMPUTING,FDCDC - CS F366 - LABORATORY PROJECT,FDELE - CHEM F376 - DESIGN PROJECT,FDCDC - CS F301 - PRINCIPLES OF PROGG LANG,FDELE - INSTR F366 - LABORATORY PROJECT,FDELE - ECON F214 - ECONOMIC ENV OF BUSINESS
Faculty54,x1,FDCDC - GS F233 - PUBLIC POLICY,FDCDC - CS F376 - DESIGN PROJECT,FDELE - EEE F266 - STUDY PROJECT,FDELE - HSS F314 - MARITIME STUDIES & BLUE ECON,FDELE - ECON F213 - MATHEMATIC & STAT METHOD,HDELE - ME F491 - SPECIAL PROJECTS,"FDCDC - BIO F217 - LAB FOR WATER, SANITATION & SOLID WASTE",FDELE - HSS F379 - INTRODUCTION TO PHILOSOPHY OF SCIENCE,HDCDC - CHE G523 - MATH METHODS IN CHEM ENG,HDCDC - CS G518 - INTERNET OF THINGS: DESIGN & DEVELOPMENT,HDELE - EEE G512 - EMBEDDED SYSTEM DESIGN,FDCDC - CS F351 - THEORY OF COMPUTATION
Faculty55,x1,FDELE - CHE F212 - FLUID MECHANICS,FDCDC - PHY F315 - THEORY OF RELATIVITY,FDCDC - HSS F227 - CROSS CULTURAL SKILLS,HDELE - CHEM G521 - ENVIRONMENTAL CHEMISTRY,HDCDC - BIO G525 - ENVIR BIOTECH & WAS MGMT,FDCDC - MGTS F211 - PRINCIPLES OF MANAGEMENT,FDELE - PHY F346 - LASER SCIENCE AND TECHNOLOGY,FDCDC - PHY F491 - SPECIAL PROJECT,HDCDC - EEE G612 - CODING THEORY AND PRACTICE,FDELE - CS F429 - NATURAL LANG PROCESS,FDELE - HSS F340 - POST COLONIAL LITERATURES,HDELE - BITS G529 - RESEARCH PROJECT I
Faculty56,x2,FDELE - CS F215 - DIGITAL DESIGN,HDELE - ME F212 - FLUID MECHANICS,HDCDC - MEL G631 - PHY & MO OF MICROEL DEV,FDELE - CHEM F376 - DESIGN PROJECT,FDCDC - CS F441 - SELECTED TOPICS FROM COMP SCI,HDELE - ME F423 - MICRO-FLUIDICS & ITS APP,FDCDC - HSS F232 - INTRO TO DEV STUDIES,HDCDC - MEL G611 - I C FABRICATION TECH,FDCDC - MATH F266 - STUDY PROJECT,FDCDC - ECE F434 - DIGITAL SIGNAL PROCESS,FDELE - BIO F214 - INTEGRATED BIOLOGY,FDELE - PHY F346 - LASER SCIENCE AND TECHNOLOGY
Faculty57,x3,HDCDC - EEE G581 - RF AND MICROWAVE ENGG,FDELE - HSS F379 - INTRODUCTION TO PHILOSOPHY OF SCIENCE,FDELE - CS F222 - DISCR STRUC FOR COMP SCI,HDELE - CHEM G521 - ENVIRONMENTAL CHEMISTRY,FDELE - BITS F452 - BLOCKCHAIN TECHNOLOGY,FDCDC - HSS F232 - INTRO TO DEV STUDIES,FDCDC - MATH F231 - NUMBER THEORY,FDCDC - ECE F434 - DIGITAL SIGNAL PROCESS,FDCDC - CHE F211 - CHEMICAL PROCESS CALCULATION,HDELE - ME F443 - QUALI CONTRO ASSUR & REL,FDELE - HSS F365 - SCIENCE OF SUSTAINABLE HAPPINESS,HDCDC - ME G515 - COMPUT FLUID DYNAMICS
Faculty58,x2,FDCDC - HSS F317 - INTRODUCTION TO GLOBALIZATION,FDELE - BIO F417 - BIOMOLECULAR MODELING,FDELE - BITS F315 - INTRODUCTION TO COGNITIVE NEUR,FDCDC - BIO F418 - GENETIC ENGINEERING TECH,HDCDC - EEE G581 - RF AND MICROWAVE ENGG,HDCDC - EEE G613 - ADVANCED DIGITAL SIGNAL PROCESSING,HDELE - MEL G621 - VLSI DESIGN,HDELE - BITS G540 - RESEARCH PRACTICE,FDELE - GS F231 - DYN OF SOCIAL CHANGE,FDCDC - PHY F313 - COMPUTATIONAL PHYSICS,FDELE - ECON F214 - ECONOMIC ENV OF BUSINESS,FDCDC - CS F366 - LABORATORY PROJECT
Faculty59,x3,FDCDC - CS F376 - DESIGN PROJECT,FDCDC - CHE F422 - PETROLEUM REFINING TECHNOLOGY,FDELE - PHY F376 - DESIGN PROJECT,HDCDC - MEL G625 - ADV ANALOG & MIX SIG DES,HDCDC - MEL G631 - PHY & MO OF MICROEL DEV,HDELE - BITS G553 - REAL TIME SYSTEMS,FDCDC - BITS F316 - NONLINEAR DYNAMICS AND CHAOS,FDCDC - CS F407 - ARTIFICIAL INTELLIGENCE,HDELE - BITS G562T - DISSERTATION,FDELE - EEE F418 - MOD COMMUNICATION TECH,FDELE - BIO F214 - INTEGRATED BIOLOGY,FDELE - BIO F266 - STUDY PROJECT
Faculty60,x3,FDCDC - PHY F419 - ADVANCED SOLID STATE PHYSICS,FDCDC - PHY F313 - COMPUTATIONAL PHYSICS,FDELE - EEE F418 - MOD COMMUNICATION TECH,HDELE - CS G526 - ADV ALGO & COMPLEXITY,FDELE - ECON F415 - NEW VENTURE CREATION,FDELE - MATH F312 - ORDINARY DIFF EQUATIONS,HDCDC - ME F217 - APPLIED THERMODYNAMICS,FDCDC - BITS F464 - MACHINE LEARNING,FDELE - BITS F415 - INTRODUCTION TO MEMS,HDCDC - DE G531 - PRODUCT DESIGN,FDCDC - MATH F215 - ALGEBRA I,HDELE - BIO G515 - STEM CELL & REGENER BIO
Faculty61,x3,FDELE - CS F429 - NATURAL LANG PROCESS,FDELE - GS F212 - ENVIRON DEV & CLIMATE CH,HDCDC - EEE G581 - RF AND MICROWAVE ENGG,FDELE - MATH F312 - ORDINARY DIFF EQUATIONS,HDELE - ME F443 - QUALI CONTRO ASSUR & REL,FDCDC - CHEM F213 - PHYSICAL CHEMISTRY II,HDELE - ME F216 - MATERIAL SCI AND ENGINEERIN,FDCDC - MATH F215 - ALGEBRA I,HDCDC - ME F217 - APPLIED THERMODYNAMICS,FDELE - CS F222 - DISCR STRUC FOR COMP SCI,FDCDC - CS F366 - LABORATORY PROJECT,FDCDC - HSS F232 - INTRO TO DEV STUDIES
Faculty62,x2,FDELE - BIO F417 - BIOMOLECULAR MODELING,FDELE - GS F212 - ENVIRON DEV & CLIMATE CH,HDELE - CS G553 - RECONFIGURABLE COMPUTING,HDCDC - BIO G523 - ADV & APPLIED MICROBIO,FDELE - PHY F376 - DESIGN PROJECT,FDCDC - GS F233 - PUBLIC POLICY,FDELE - CHE F266 - STUDY PROJECT,FDCDC - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO,HDELE - MEL G623 - ADVANCED VLSI DESIGN,HDCDC - ME F217 - APPLIED THERMODYNAMICS,FDCDC - HSS F236 - SYMBOLIC LOGIC,FDCDC - BITS F464 - MACHINE LEARNING
Faculty63,x3,FDELE - CHEM F330 - PHOTOPHYSICAL CHEMISTRY,HDCDC - CHE G523 - MATH METHODS IN CHEM ENG,HDELE - ME F112 - WORKSHOP PRACTICE,FDELE - HSS F347 - INTRO TOCARNATIC MUSIC,HDCDC - MEL G611 - I C FABRICATION TECH,FDCDC - CS F491 - SPECIAL PROJECT,FDELE - INSTR F376 - DESIGN PROJECT,FDCDC - IS F341 - SOFTWARE ENGINEERING,FDCDC - BITS F316 - NONLINEAR DYNAMICS AND CHAOS,HDELE - EEE G626 - HARDWARE SOFTWARE CO-DESIGN,FDCDC - CS F441 - SELECTED TOPICS FROM COMP SCI,FDELE - CHE F266 - STUDY PROJECT
Faculty64,x2,HDELE - ME F376 - DESIGN PROJECT,FDCDC - IS F341 - SOFTWARE ENGINEERING,FDELE - PHY F420 - QUANTUM OPTICS,HDCDC - BITS G511 - ADVANCED PROJECT,FDCDC - MATH F311 - INTRODUCTION TO TOPOLOGY,HDCDC - BITS G563T - DISSERTATION,FDELE - EEE F215 - DIGITAL DESIGN,FDELE - ECE F376 - DESIGN PROJECT,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDCDC - CS F266 - STUDY PROJECT,FDCDC - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO,FDELE - INSTR F366 - LABORATORY PROJECT
Faculty65,x2,FDCDC - ECE F366 - LABORATORY PROJECT,HDELE - ME F315 - ADVANCED MANUFACTURING PROCESS,HDCDC - BIO G525 - ENVIR BIOTECH & WAS MGMT,HDELE - DE G631 - MATERIALS TECH & TESTING,FDELE - BIO F313 - ANIMAL PHYSIOLOGY,FDCDC - CHE F433 - CORROSION ENGINEERING,FDCDC - MATH F311 - INTRODUCTION TO TOPOLOGY,FDCDC - PHY F412 - INTRODUCTION TO QUANTUM FIELD THEORY,FDELE - CS F429 - NATURAL LANG PROCESS,FDELE - CS F215 - DIGITAL DESIGN,HDCDC - SAN G512 - SANITATION AND PUBLIC HEALTH,FDELE - ECON F313 - ISSUES IN ECONOMIC DEV
Faculty66,x2,FDCDC - MATH F215 - ALGEBRA I,FDELE - ECE F266 - STUDY PROJECT,HDCDC - CS G541 - PERVASIVE COMPUTING,HDELE - BIO G515 - STEM CELL & REGENER BIO,FDELE - HSS F314 - MARITIME STUDIES & BLUE ECON,FDCDC - PHY F419 - ADVANCED SOLID STATE PHYSICS,HDELE - BITS G553 - REAL TIME SYSTEMS,FDCDC - BITS F464 - MACHINE LEARNING,FDCDC - CS F407 - ARTIFICIAL INTELLIGENCE,FDELE - ECON F355 - BUSS ANAL & VALUATION,HDCDC - BIO G526 - CANCER BIOLOGY,FDELE - HSS F347 - INTRO TOCARNATIC MUSIC
Faculty67,x2,FDCDC - HSS F313 - INTRO TO CONTEMPRORY ARTS,FDELE - HSS F347 - INTRO TOCARNATIC MUSIC,FDCDC - GS F326 - CREATIVE THINKING,FDELE - BIO F417 - BIOMOLECULAR MODELING,HDCDC - EE G501 - ENVIRONMENTAL SAMPLING AND ANALYTICAL METHODS,HDELE - BIO G532 - BIOSTATISTICS AND BIOMODELLING,"FDCDC - BIO F216 - WATER,SANITATION & SOLID WASTE",HDELE - BITS G553 - REAL TIME SYSTEMS,FDELE - CHEM F330 - PHOTOPHYSICAL CHEMISTRY,FDELE - ECON F376 - DESIGN PROJECT,HDCDC - BITS G513 - STUDY IN ADVANCED TOPICS,FDCDC - PHY F491 - SPECIAL PROJECT
Faculty68,x1,HDCDC - BIO G526 - CANCER BIOLOGY,FDELE - HSS F375 - BUS & POL IN COL & POS COL IND,FDELE - CHEM F491 - SPECIAL PROJECT,HDELE - ME F216 - MATERIAL SCI AND ENGINEERIN,FDCDC - PHY F311 - QUANTUM MECHANICS II,HDELE - BITS G561T - DISSERTATION,HDCDC - CS G541 - PERVASIVE COMPUTING,FDELE - EEE F376 - DESIGN PROJECT,FDELE - CHE F266 - STUDY PROJECT,FDCDC - ECE F434 - DIGITAL SIGNAL PROCESS,FDCDC - ECON F211 - PRINCIPLES OF ECONOMICS,FDCDC - HSS F232 - INTRO TO DEV STUDIES
Faculty69,x1,HDCDC - BITS G511 - ADVANCED PROJECT,FDELE - BITS F452 - BLOCKCHAIN TECHNOLOGY,HDELE - BITS G540 - RESEARCH PRACTICE,HDELE - EEE G512 - EMBEDDED SYSTEM DESIGN,FDCDC - PHY F315 - THEORY OF RELATIVITY,FDCDC - CS F301 - PRINCIPLES OF PROGG LANG,HDCDC - ME F415 - GAS DYNAMICS,FDELE - ECON F415 - NEW VENTURE CREATION,FDELE - BIO F214 - INTEGRATED BIOLOGY,FDELE - CHE F266 - STUDY PROJECT,FDCDC - HSS F236 - SYMBOLIC LOGIC,FDCDC - HSS F313 - INTRO TO CONTEMPRORY ARTS
Faculty70,x3,FDCDC - PHY F214 - ELEC MAGNET & OPTICS LAB,HDELE - ME F211 - MECHANICS OF SOLIDS,HDCDC - BITS G513 - STUDY IN ADVANCED TOPICS,FDCDC - CHEM F214 - INORGANIC CHEMISTRY I,FDELE - CS F215 - DIGITAL DESIGN,FDELE - HSS F314 - MARITIME STUDIES & BLUE ECON,FDCDC - PHY F313 - COMPUTATIONAL PHYSICS,HDCDC - ME F415 - GAS DYNAMICS,FDELE - CHEM F376 - DESIGN PROJECT,FDCDC - CHE F213 - CHEM ENGG THERMODYNAMICS,FDELE - CHEM F330 - PHOTOPHYSICAL CHEMISTRY,HDELE - ME F376 - DESIGN PROJECT
Faculty71,x1,HDCDC - BIO G526 - CANCER BIOLOGY,FDCDC - GS F242 - CULTURAL STUDIES,FDCDC - CHE F422 - PETROLEUM REFINING TECHNOLOGY,HDELE - CS G553 - RECONFIGURABLE COMPUTING,FDELE - CHEM F491 - SPECIAL PROJECT,FDELE - CHEM F110 - CHEMISTRY LABORATORY,FDCDC - MATH F432 - APPLIED STATISTICAL METHODS,FDELE - HSS F365 - SCIENCE OF SUSTAINABLE HAPPINESS,FDELE - EEE F418 - MOD COMMUNICATION TECH,HDELE - CS G526 - ADV ALGO & COMPLEXITY,HDCDC - ME F217 - APPLIED THERMODYNAMICS,FDCDC - GS F221 - BUSINESS COMMUNICATION
Faculty72,x3,HDCDC - ME G515 - COMPUT FLUID DYNAMICS,HDELE - ME F216 - MATERIAL SCI AND ENGINEERIN,FDELE - EEE F428 - ENERGY STORAGE SYSTEMS,FDCDC - PHY F213 - OPTICS,FDCDC - PHY F214 - ELEC MAGNET & OPTICS LAB,HDCDC - EE G501 - ENVIRONMENTAL SAMPLING AND ANALYTICAL METHODS,HDELE - BITS G649 - READING COURSE,FDELE - CHE F491 - SPECIAL PROJECTS,FDELE - PHY F420 - QUANTUM OPTICS,FDCDC - CHEM F213 - PHYSICAL CHEMISTRY II,FDELE - MATH F313 - NUMERICAL ANALYSIS,FDCDC - MGTS F211 - PRINCIPLES OF MANAGEMENT
Faculty73,x3,FDELE - ECON F355 - BUSS ANAL & VALUATION,HDELE - CHE G613 - ADVANCED MASS TRANSFER,HDELE - ME F491 - SPECIAL PROJECTS,HDCDC - EEE G612 - CODING THEORY AND PRACTICE,HDCDC - MEL G625 - ADV ANALOG & MIX SIG DES,FDELE - MATH F491 - SPECIAL PROJECT,FDCDC - CS F301 - PRINCIPLES OF PROGG LANG,FDCDC - ECE F434 - DIGITAL SIGNAL PROCESS,FDELE - HSS F363 - DISASTER AND DEVELOPMENT,FDELE - CHE F212 - FLUID MECHANICS,FDCDC - PHY F491 - SPECIAL PROJECT,FDCDC - MATH F215 - ALGEBRA I
Faculty74,x2,HDELE - MEL G622 - INTRO TO ARTIF NEURAL NET,HDCDC - INSTR F311 - ELECTRO INST & INST TECH,FDELE - CHEM F110 - CHEMISTRY LABORATORY,FDCDC - ECE F366 - LABORATORY PROJECT,FDELE - MATH F491 - SPECIAL PROJECT,FDCDC - BITS F464 - MACHINE LEARNING,FDELE - BITS F315 - INTRODUCTION TO COGNITIVE NEUR,FDCDC - HSS F313 - INTRO TO CONTEMPRORY ARTS,FDELE - EEE F266 - STUDY PROJECT,FDCDC - PHY F412 - INTRODUCTION TO QUANTUM FIELD THEORY,HDCDC - BITS G511 - ADVANCED PROJECT,HDELE - MEL G621 - VLSI DESIGN
Faculty75,x3,HDCDC - MEL G625 - ADV ANALOG & MIX SIG DES,FDCDC - CS F376 - DESIGN PROJECT,FDCDC - PHY F211 - CLASSICAL MECHANICS,FDELE - CHE F266 - STUDY PROJECT,FDELE - ECON F313 - ISSUES IN ECONOMIC DEV,FDCDC - CHE F312 - CHEMICAL ENGG LAB I,FDELE - EEE F428 - ENERGY STORAGE SYSTEMS,FDCDC - CHE F211 - CHEMICAL PROCESS CALCULATION,HDELE - DE G611 - DYNAMICS & VIBRATION,HDCDC - MEL G631 - PHY & MO OF MICROEL DEV,FDELE - ECON F355 - BUSS ANAL & VALUATION,HDELE - INSTR F266 - STUDY PROJECT
Faculty76,x3,HDCDC - ME F314 - DESIGN OF MACHINE ELEMENTS,FDELE - HSS F349 - ECOCRITICISM,FDCDC - MATH F432 - APPLIED STATISTICAL METHODS,FDELE - HSS F375 - BUS & POL IN COL & POS COL IND,FDCDC - CHE F422 - PETROLEUM REFINING TECHNOLOGY,FDCDC - ECON F354 - DERIVATIVES &  RISK MGMT,FDELE - CHEM F111 - GENERAL CHEMISTRY,HDELE - BIO G542 - ADVANCED CELL MOLE BIO,FDELE - HSS F365 - SCIENCE OF SUSTAINABLE HAPPINESS,HDELE - ME F315 - ADVANCED MANUFACTURING PROCESS,FDCDC - CS F407 - ARTIFICIAL INTELLIGENCE,HDCDC - BITS G513 - STUDY IN ADVANCED TOPICS
Faculty77,x3,HDCDC - MEL G611 - I C FABRICATION TECH,HDELE - ME F491 - SPECIAL PROJECTS,FDELE - HSS F347 - INTRO TOCARNATIC MUSIC,FDCDC - HSS F232 - INTRO TO DEV STUDIES,FDCDC - CS F468 - INFORMATION SECURITY PROJECT,FDELE - BIO F214 - INTEGRATED BIOLOGY,HDCDC - SAN G512 - SANITATION AND PUBLIC HEALTH,FDCDC - PHY F412 - INTRODUCTION TO QUANTUM FIELD THEORY,"FDCDC - BIO F217 - LAB FOR WATER, SANITATION & SOLID WASTE",FDELE - BITS F110 - ENGINEERING GRAPHICS,HDELE - CHEM G521 - ENVIRONMENTAL CHEMISTRY,FDELE - HSS F349 - ECOCRITICISM
Faculty78,x1,FDELE - ECON F376 - DESIGN PROJECT,FDELE - BITS F112 - TECH REPORT WRITING,FDELE - PHY F212 - ELECTROMAGNETIC THEO I,HDCDC - BITS G629T - DISSERTATION,FDELE - EEE F416 - DIGITAL COMMUNICATION,FDCDC - BITS F464 - MACHINE LEARNING,FDCDC - BIO F418 - GENETIC ENGINEERING TECH,HDCDC - ME F217 - APPLIED THERMODYNAMICS,HDELE - BITS G553 - REAL TIME SYSTEMS,HDELE - ME F212 - FLUID MECHANICS,FDCDC - ECE F366 - LABORATORY PROJECT,FDCDC - GS F326 - CREATIVE THINKING
Faculty79,x2,"FDCDC - BIO F217 - LAB FOR WATER, SANITATION & SOLID WASTE",HDCDC - BITS G629T - DISSERTATION,FDELE - HSS F379 - INTRODUCTION TO PHILOSOPHY OF SCIENCE,FDELE - PHY F212 - ELECTROMAGNETIC THEO I,HDELE - INSTR F266 - STUDY PROJECT,FDELE - EEE F428 - ENERGY STORAGE SYSTEMS,FDELE - HSS F338 - COMPARATIVE INDIAN LITERATURE,FDCDC - BIO F211 - BIOLOGICAL CHEMISTRY,FDCDC - ECE F366 - LABORATORY PROJECT,FDCDC - IS F341 - SOFTWARE ENGINEERING,HDCDC - CS G623 - ADVANCED OPERAT SYSTEMS,HDELE - EEE G512 - EMBEDDED SYSTEM DESIGN
Faculty80,x3,HDELE - CS G553 - RECONFIGURABLE COMPUTING,HDELE - BITS G553 - REAL TIME SYSTEMS,FDELE - MATH F491 - SPECIAL PROJECT,HDCDC - BIO G525 - ENVIR BIOTECH & WAS MGMT,FDELE - GS F212 - ENVIRON DEV & CLIMATE CH,FDCDC - CS F266 - STUDY PROJECT,FDELE - HSS F379 - INTRODUCTION TO PHILOSOPHY OF SCIENCE,HDCDC - BIO G512 - MOLEC MECH OF GENE EXPRE,FDCDC - HSS F337 - ENGLISH LITERARY FORMS AND MOVEMENTS,FDCDC - CHE F422 - PETROLEUM REFINING TECHNOLOGY,FDELE - CHEM F491 - SPECIAL PROJECT,FDCDC - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO
